timestamp,egress,kind,kernel_kind,load,attempt,concurrency,vm_index,launch_ms,exit
2026-05-13T18:18:10+00:00,none,minimal,stripped,idle,3,8,3,1516,0
2026-05-13T18:18:10+00:00,none,minimal,stripped,idle,3,8,4,1515,0
2026-05-13T18:18:10+00:00,none,minimal,stripped,idle,3,8,5,1515,0
2026-05-13T18:18:10+00:00,none,minimal,stripped,idle,3,8,6,1515,0
2026-05-13T18:18:10+00:00,none,minimal,stripped,idle,3,8,7,1514,0
2026-05-13T18:18:12+00:00,none,minimal,stripped,idle,4,8,0,1517,0
2026-05-13T18:18:12+00:00,none,minimal,stripped,idle,4,8,1,1517,0
2026-05-13T18:18:12+00:00,none,minimal,stripped,idle,4,8,2,1516,0
2026-05-13T18:18:12+00:00,none,minimal,stripped,idle,4,8,3,1516,0
2026-05-13T18:18:12+00:00,none,minimal,stripped,idle,4,8,4,1516,0
2026-05-13T18:18:12+00:00,none,minimal,stripped,idle,4,8,5,1516,0
2026-05-13T18:18:12+00:00,none,minimal,stripped,idle,4,8,6,1516,0
2026-05-13T18:18:12+00:00,none,minimal,stripped,idle,4,8,7,1515,0
2026-05-13T18:18:14+00:00,none,minimal,stripped,idle,5,8,0,1515,0
2026-05-13T18:18:14+00:00,none,minimal,stripped,idle,5,8,1,1516,0
2026-05-13T18:18:14+00:00,none,minimal,stripped,idle,5,8,2,1516,0
2026-05-13T18:18:14+00:00,none,minimal,stripped,idle,5,8,3,1515,0
2026-05-13T18:18:14+00:00,none,minimal,stripped,idle,5,8,4,1515,0
2026-05-13T18:18:14+00:00,none,minimal,stripped,idle,5,8,5,1515,0
2026-05-13T18:18:14+00:00,none,minimal,stripped,idle,5,8,6,1515,0
2026-05-13T18:18:14+00:00,none,minimal,stripped,idle,5,8,7,1513,0
2026-05-13T18:18:16+00:00,none,minimal,stripped,idle,6,8,0,1517,0
2026-05-13T18:18:16+00:00,none,minimal,stripped,idle,6,8,1,1516,0
2026-05-13T18:18:16+00:00,none,minimal,stripped,idle,6,8,2,1517,0
2026-05-13T18:18:16+00:00,none,minimal,stripped,idle,6,8,3,1515,0
2026-05-13T18:18:16+00:00,none,minimal,stripped,idle,6,8,4,1516,0
2026-05-13T18:18:16+00:00,none,minimal,stripped,idle,6,8,5,1516,0
2026-05-13T18:18:16+00:00,none,minimal,stripped,idle,6,8,6,1515,0
2026-05-13T18:18:16+00:00,none,minimal,stripped,idle,6,8,7,1516,0
2026-05-13T18:18:17+00:00,none,minimal,stripped,idle,7,8,0,1517,0
2026-05-13T18:18:17+00:00,none,minimal,stripped,idle,7,8,1,1516,0
2026-05-13T18:18:17+00:00,none,minimal,stripped,idle,7,8,2,1516,0
2026-05-13T18:18:17+00:00,none,minimal,stripped,idle,7,8,3,1516,0
2026-05-13T18:18:17+00:00,none,minimal,stripped,idle,7,8,4,1515,0
2026-05-13T18:18:17+00:00,none,minimal,stripped,idle,7,8,5,1515,0
2026-05-13T18:18:17+00:00,none,minimal,stripped,idle,7,8,6,1515,0
2026-05-13T18:18:17+00:00,none,minimal,stripped,idle,7,8,7,1515,0
2026-05-13T18:18:19+00:00,none,minimal,stripped,idle,8,8,0,1516,0
2026-05-13T18:18:19+00:00,none,minimal,stripped,idle,8,8,1,1516,0
2026-05-13T18:18:19+00:00,none,minimal,stripped,idle,8,8,2,1517,0
2026-05-13T18:18:19+00:00,none,minimal,stripped,idle,8,8,3,1517,0
2026-05-13T18:18:19+00:00,none,minimal,stripped,idle,8,8,4,1516,0
2026-05-13T18:18:19+00:00,none,minimal,stripped,idle,8,8,5,1517,0
2026-05-13T18:18:19+00:00,none,minimal,stripped,idle,8,8,6,1516,0
2026-05-13T18:18:19+00:00,none,minimal,stripped,idle,8,8,7,1515,0
2026-05-13T18:18:21+00:00,none,minimal,stripped,idle,9,8,0,1516,0
2026-05-13T18:18:21+00:00,none,minimal,stripped,idle,9,8,1,1517,0
2026-05-13T18:18:21+00:00,none,minimal,stripped,idle,9,8,2,1514,0
2026-05-13T18:18:21+00:00,none,minimal,stripped,idle,9,8,3,1417,0
2026-05-13T18:18:21+00:00,none,minimal,stripped,idle,9,8,4,1516,0
2026-05-13T18:18:21+00:00,none,minimal,stripped,idle,9,8,5,1516,0
2026-05-13T18:18:21+00:00,none,minimal,stripped,idle,9,8,6,1514,0
2026-05-13T18:18:21+00:00,none,minimal,stripped,idle,9,8,7,1515,0
2026-05-13T18:18:23+00:00,none,minimal,stripped,idle,10,8,0,1516,0
2026-05-13T18:18:23+00:00,none,minimal,stripped,idle,10,8,1,1518,0
2026-05-13T18:18:23+00:00,none,minimal,stripped,idle,10,8,2,1516,0
2026-05-13T18:18:23+00:00,none,minimal,stripped,idle,10,8,3,1515,0
2026-05-13T18:18:23+00:00,none,minimal,stripped,idle,10,8,4,1516,0
2026-05-13T18:18:23+00:00,none,minimal,stripped,idle,10,8,5,1515,0
2026-05-13T18:18:23+00:00,none,minimal,stripped,idle,10,8,6,1514,0
2026-05-13T18:18:23+00:00,none,minimal,stripped,idle,10,8,7,1516,0
2026-05-13T18:18:25+00:00,none,minimal,stripped,idle,11,8,0,1516,0
2026-05-13T18:18:25+00:00,none,minimal,stripped,idle,11,8,1,1516,0
2026-05-13T18:18:25+00:00,none,minimal,stripped,idle,11,8,2,1517,0
2026-05-13T18:18:25+00:00,none,minimal,stripped,idle,11,8,3,1517,0
2026-05-13T18:18:25+00:00,none,minimal,stripped,idle,11,8,4,1516,0
2026-05-13T18:18:25+00:00,none,minimal,stripped,idle,11,8,5,1514,0
2026-05-13T18:18:25+00:00,none,minimal,stripped,idle,11,8,6,1517,0
2026-05-13T18:18:25+00:00,none,minimal,stripped,idle,11,8,7,1516,0
2026-05-13T18:18:27+00:00,none,minimal,stripped,idle,12,8,0,1516,0
2026-05-13T18:18:27+00:00,none,minimal,stripped,idle,12,8,1,1518,0
2026-05-13T18:18:27+00:00,none,minimal,stripped,idle,12,8,2,1517,0
2026-05-13T18:18:27+00:00,none,minimal,stripped,idle,12,8,3,1516,0
2026-05-13T18:18:27+00:00,none,minimal,stripped,idle,12,8,4,1516,0
2026-05-13T18:18:27+00:00,none,minimal,stripped,idle,12,8,5,1516,0
2026-05-13T18:18:27+00:00,none,minimal,stripped,idle,12,8,6,1516,0
2026-05-13T18:18:27+00:00,none,minimal,stripped,idle,12,8,7,1514,0
2026-05-13T18:18:28+00:00,none,minimal,stripped,idle,13,8,0,1517,0
2026-05-13T18:18:28+00:00,none,minimal,stripped,idle,13,8,1,1517,0
2026-05-13T18:18:28+00:00,none,minimal,stripped,idle,13,8,2,1515,0
2026-05-13T18:18:28+00:00,none,minimal,stripped,idle,13,8,3,1515,0
2026-05-13T18:18:28+00:00,none,minimal,stripped,idle,13,8,4,1516,0
2026-05-13T18:18:28+00:00,none,minimal,stripped,idle,13,8,5,1516,0
2026-05-13T18:18:28+00:00,none,minimal,stripped,idle,13,8,6,1515,0
2026-05-13T18:18:28+00:00,none,minimal,stripped,idle,13,8,7,1515,0
2026-05-13T18:18:30+00:00,none,minimal,stripped,idle,14,8,0,1515,0
2026-05-13T18:18:30+00:00,none,minimal,stripped,idle,14,8,1,1418,0
2026-05-13T18:18:30+00:00,none,minimal,stripped,idle,14,8,2,1517,0
2026-05-13T18:18:30+00:00,none,minimal,stripped,idle,14,8,3,1517,0
2026-05-13T18:18:30+00:00,none,minimal,stripped,idle,14,8,4,1516,0
2026-05-13T18:18:30+00:00,none,minimal,stripped,idle,14,8,5,1515,0
2026-05-13T18:18:30+00:00,none,minimal,stripped,idle,14,8,6,1515,0
2026-05-13T18:18:30+00:00,none,minimal,stripped,idle,14,8,7,1516,0
2026-05-13T18:18:32+00:00,none,minimal,stripped,idle,15,8,0,1515,0
2026-05-13T18:18:32+00:00,none,minimal,stripped,idle,15,8,1,1517,0
2026-05-13T18:18:32+00:00,none,minimal,stripped,idle,15,8,2,1515,0
2026-05-13T18:18:32+00:00,none,minimal,stripped,idle,15,8,3,1516,0
2026-05-13T18:18:32+00:00,none,minimal,stripped,idle,15,8,4,1516,0
2026-05-13T18:18:32+00:00,none,minimal,stripped,idle,15,8,5,1516,0
2026-05-13T18:18:32+00:00,none,minimal,stripped,idle,15,8,6,1515,0
2026-05-13T18:18:32+00:00,none,minimal,stripped,idle,15,8,7,1515,0
2026-05-13T18:18:34+00:00,none,minimal,stripped,idle,16,8,0,1517,0
2026-05-13T18:18:34+00:00,none,minimal,stripped,idle,16,8,1,1516,0
2026-05-13T18:18:34+00:00,none,minimal,stripped,idle,16,8,2,1517,0
2026-05-13T18:18:34+00:00,none,minimal,stripped,idle,16,8,3,1515,0
2026-05-13T18:18:34+00:00,none,minimal,stripped,idle,16,8,4,1515,0
2026-05-13T18:18:34+00:00,none,minimal,stripped,idle,16,8,5,1515,0
2026-05-13T18:18:34+00:00,none,minimal,stripped,idle,16,8,6,1514,0
2026-05-13T18:18:34+00:00,none,minimal,stripped,idle,16,8,7,1514,0
2026-05-13T18:18:36+00:00,none,minimal,stripped,idle,17,8,0,1515,0
2026-05-13T18:18:36+00:00,none,minimal,stripped,idle,17,8,1,1517,0
2026-05-13T18:18:36+00:00,none,minimal,stripped,idle,17,8,2,1515,0
2026-05-13T18:18:36+00:00,none,minimal,stripped,idle,17,8,3,1515,0
2026-05-13T18:18:36+00:00,none,minimal,stripped,idle,17,8,4,1516,0
2026-05-13T18:18:36+00:00,none,minimal,stripped,idle,17,8,5,1516,0
2026-05-13T18:18:36+00:00,none,minimal,stripped,idle,17,8,6,1514,0
2026-05-13T18:18:36+00:00,none,minimal,stripped,idle,17,8,7,1514,0
2026-05-13T18:18:38+00:00,none,minimal,stripped,idle,18,8,0,1518,0
2026-05-13T18:18:38+00:00,none,minimal,stripped,idle,18,8,1,1516,0
2026-05-13T18:18:38+00:00,none,minimal,stripped,idle,18,8,2,1516,0
